file_type,sra_name,guid,fq1,fq2
ebi,ERR171379,,,
ebi,ERR171380,,,
ebi,ERR171381,,,
ebi,ERR171190,,,
ebi,ERR171191,,,
ebi,ERR171192,,,
ebi,ERR171193,,,
ebi,ERR171194,,,
ebi,ERR171195,,,
ebi,ERR171196,,,
ebi,ERR171197,,,
ebi,ERR171198,,,
ebi,ERR171199,,,
ebi,ERR171200,,,
ebi,ERR171201,,,
ebi,ERR171202,,,
ebi,ERR171203,,,
ebi,ERR171204,,,
ebi,ERR171205,,,
ebi,ERR171206,,,
ebi,ERR171207,,,
ebi,ERR171208,,,
ebi,ERR171209,,,
ebi,ERR171210,,,
ebi,ERR171211,,,
ebi,ERR171212,,,
ebi,ERR171213,,,
ebi,ERR171214,,,
ebi,ERR171215,,,
ebi,ERR171216,,,
ebi,ERR171217,,,
ebi,ERR171218,,,
ebi,ERR171219,,,
ebi,ERR171220,,,
ebi,ERR171221,,,
ebi,ERR171222,,,
ebi,ERR171223,,,
ebi,ERR171224,,,
ebi,ERR171225,,,
ebi,ERR171226,,,
ebi,ERR171227,,,
ebi,ERR171228,,,
ebi,ERR171229,,,
ebi,ERR171230,,,
ebi,ERR171231,,,
ebi,ERR171232,,,
ebi,ERR171233,,,
ebi,ERR171234,,,
ebi,ERR171235,,,
ebi,ERR171236,,,
ebi,ERR171237,,,
ebi,ERR171238,,,
ebi,ERR171239,,,
ebi,ERR171240,,,
ebi,ERR171241,,,
ebi,ERR171242,,,
ebi,ERR171243,,,
ebi,ERR171244,,,
ebi,ERR171245,,,
ebi,ERR171284,,,
ebi,ERR256894,,,
ebi,ERR256895,,,
ebi,ERR256896,,,
ebi,ERR256897,,,
ebi,ERR256898,,,
ebi,ERR256899,,,
ebi,ERR256900,,,
ebi,ERR256901,,,
ebi,ERR256902,,,
ebi,ERR256903,,,
ebi,ERR256904,,,
ebi,ERR256905,,,
ebi,ERR256906,,,
ebi,ERR256907,,,
ebi,ERR256908,,,
ebi,ERR256909,,,
ebi,ERR256910,,,
ebi,ERR256911,,,
ebi,ERR256912,,,
ebi,ERR256913,,,
ebi,ERR256914,,,
ebi,ERR256915,,,
ebi,ERR256916,,,
ebi,ERR256917,,,
ebi,ERR256918,,,
ebi,ERR256919,,,
ebi,ERR256920,,,
ebi,ERR256921,,,
ebi,ERR256922,,,
ebi,ERR256923,,,
ebi,ERR256924,,,
ebi,ERR256925,,,
ebi,ERR256926,,,
ebi,ERR256927,,,
ebi,ERR256928,,,
ebi,ERR256929,,,
ebi,ERR256930,,,
ebi,ERR256931,,,
ebi,ERR256932,,,
ebi,ERR256933,,,
ebi,ERR256934,,,
ebi,ERR256935,,,
ebi,ERR256936,,,
ebi,ERR256937,,,
ebi,ERR256938,,,
ebi,ERR256939,,,
ebi,ERR256940,,,
ebi,ERR256941,,,
ebi,ERR256942,,,
ebi,ERR256943,,,
ebi,ERR256944,,,
ebi,ERR256945,,,
ebi,ERR256946,,,
ebi,ERR256947,,,
ebi,ERR256948,,,
ebi,ERR256949,,,
ebi,ERR256950,,,
ebi,ERR256951,,,
ebi,ERR256952,,,
