file_type,file_name
ebi,SRR6009235
ebi,SRR6009236
ebi,SRR6009237
ebi,SRR6009238
ebi,SRR6009239
ebi,SRR6009240
ebi,SRR6009241
ebi,SRR6009242
ebi,SRR6009243
ebi,SRR6009244
ebi,SRR6009245
ebi,SRR6009246
ebi,SRR6009247
ebi,SRR6009248
ebi,SRR6009249
ebi,SRR6009250
ebi,SRR6009251
ebi,SRR6009252
ebi,SRR6009253
ebi,SRR6009254
ebi,SRR6009255
ebi,SRR6009256
ebi,SRR6009257
ebi,SRR6009258
ebi,SRR6009259
ebi,SRR6009260
ebi,SRR6009261
ebi,SRR6009262
ebi,SRR6009263
ebi,SRR6009264
ebi,SRR6009265
ebi,SRR6009266
ebi,SRR6009267
ebi,SRR6009268
ebi,SRR6009269
ebi,SRR6009270
ebi,SRR6009271
ebi,SRR6009272
ebi,SRR6009273
ebi,SRR6009274
ebi,SRR6009275
ebi,SRR6009276
ebi,SRR6009277
ebi,SRR6009278
ebi,SRR6009279
ebi,SRR6009280
ebi,SRR6009281
ebi,SRR6009282
ebi,SRR6009283
ebi,SRR6009284
ebi,SRR6009285
ebi,SRR6009286
ebi,SRR6009287
ebi,SRR6009288
ebi,SRR6009289
ebi,SRR6009290
ebi,SRR6009291
ebi,SRR6009292
ebi,SRR6009293
ebi,SRR6009294
ebi,SRR6009295
ebi,SRR6009296
ebi,SRR6009297
ebi,SRR6009298
ebi,SRR6009299
ebi,SRR6009300
ebi,SRR6009301
ebi,SRR6009302
ebi,SRR6009303
ebi,SRR6009304
ebi,SRR6009305
ebi,SRR6009306
ebi,SRR6009307
ebi,SRR6009308
ebi,SRR6009309
ebi,SRR6009310
ebi,SRR6009311
ebi,SRR6009312
ebi,SRR6009313
ebi,SRR6009314
ebi,SRR6009315
ebi,SRR6009316
ebi,SRR6009317
ebi,SRR6009318
ebi,SRR6009319
ebi,SRR6009320
ebi,SRR6009321
ebi,SRR6009322
ebi,SRR6009323
ebi,SRR6009324
ebi,SRR6009325
ebi,SRR6009326
ebi,SRR6009327
ebi,SRR6009328
ebi,SRR6009329
ebi,SRR6009330
ebi,SRR6009331
ebi,SRR6009332
ebi,SRR6009333
ebi,SRR6009334
ebi,SRR6009335
ebi,SRR6009336
ebi,SRR6009337
ebi,SRR6009338
ebi,SRR6009339
ebi,SRR6009340
ebi,SRR6009341
ebi,SRR6009342
ebi,SRR6009343
ebi,SRR6009344
ebi,SRR6009345
ebi,SRR6009346
ebi,SRR6009347
ebi,SRR6009348
ebi,SRR6009349
ebi,SRR6009350
ebi,SRR6009351
ebi,SRR6009352
ebi,SRR6009353
ebi,SRR6009354
ebi,SRR6009355
ebi,SRR6009356
ebi,SRR6009357
ebi,SRR6009358
ebi,SRR6009359
ebi,SRR6009360
ebi,SRR6009361
ebi,SRR6009362
ebi,SRR6009363
ebi,SRR6009364
ebi,SRR6009365
ebi,SRR6009366
ebi,SRR6009367
ebi,SRR6009368
ebi,SRR6009369
ebi,SRR6009370
ebi,SRR6009371
ebi,SRR6009372
ebi,SRR6009373
ebi,SRR6009374
ebi,SRR6009375
ebi,SRR6009376
ebi,SRR6009377
ebi,SRR6009378
ebi,SRR6009379
ebi,SRR6009380
ebi,SRR6009381
ebi,SRR6009382
ebi,SRR6009383
ebi,SRR6009384
ebi,SRR6009385
ebi,SRR6009386
ebi,SRR6009387
ebi,SRR6009388
ebi,SRR6009389
ebi,SRR6009390
ebi,SRR6009391
ebi,SRR6009392
ebi,SRR6009393
ebi,SRR6009394
ebi,SRR6009395
ebi,SRR6009396
ebi,SRR6009397
ebi,SRR6009398
ebi,SRR6009399
ebi,SRR6009400
ebi,SRR6009401
ebi,SRR6009402
ebi,SRR6009403
ebi,SRR6009404
ebi,SRR6009405
ebi,SRR6009406
ebi,SRR6009407
ebi,SRR6009408
ebi,SRR6009409
ebi,SRR6009410
ebi,SRR6009411
ebi,SRR6009412
ebi,SRR6009413
ebi,SRR6009414
ebi,SRR6009415
ebi,SRR6009416
ebi,SRR6009417
ebi,SRR6009418
ebi,SRR6009419
ebi,SRR6009420
ebi,SRR6009421
ebi,SRR6009422
ebi,SRR6009423
ebi,SRR6009424
ebi,SRR6009425
ebi,SRR6009426
ebi,SRR6009427
ebi,SRR6009428
ebi,SRR6009429
ebi,SRR6009430
ebi,SRR6009431
ebi,SRR6009432
ebi,SRR6009433
ebi,SRR6009434
ebi,SRR6009435
ebi,SRR6009436
ebi,SRR6009437
ebi,SRR6009438
ebi,SRR6009439
ebi,SRR6009440
ebi,SRR6009441
ebi,SRR6009442
ebi,SRR6009443
ebi,SRR6009444
ebi,SRR6009445
ebi,SRR6009446
ebi,SRR6009447
ebi,SRR6009448
ebi,SRR6009449
ebi,SRR6009450
ebi,SRR6009451
ebi,SRR6009452
ebi,SRR6009453
ebi,SRR6009454
ebi,SRR6009455
ebi,SRR6009456
ebi,SRR6009457
ebi,SRR6009458
ebi,SRR6009459
ebi,SRR6009460
ebi,SRR6009461
ebi,SRR6009462
ebi,SRR6009463
ebi,SRR6009464
ebi,SRR6009465
ebi,SRR6009466
ebi,SRR6009467
ebi,SRR6009468
ebi,SRR6009469
ebi,SRR6009470
ebi,SRR6009471
ebi,SRR6009472
ebi,SRR6009473
ebi,SRR6009474
ebi,SRR6009475
ebi,SRR6009476
ebi,SRR6009477
ebi,SRR6009478
ebi,SRR6009479
ebi,SRR6009480
ebi,SRR6009481
ebi,SRR6009482
ebi,SRR6009483
ebi,SRR6009484
ebi,SRR6009485
ebi,SRR6009486
ebi,SRR6009487
ebi,SRR6009488
ebi,SRR6009489
ebi,SRR6009490
ebi,SRR6009491
ebi,SRR6009492
ebi,SRR6009493
ebi,SRR6009494
ebi,SRR6009495
ebi,SRR6009496
ebi,SRR6009497
ebi,SRR6009498
ebi,SRR6009499
ebi,SRR6009500
ebi,SRR6009501
ebi,SRR6009502
ebi,SRR6009503
ebi,SRR6009504
ebi,SRR6009505
ebi,SRR6009506
ebi,SRR6009507
ebi,SRR6009508
ebi,SRR6009509
ebi,SRR6009510
ebi,SRR6009511
ebi,SRR6009512
ebi,SRR6009513
ebi,SRR6009514
ebi,SRR6009515
ebi,SRR6009516
ebi,SRR6009517
ebi,SRR6009518
ebi,SRR6009519
ebi,SRR6009520
ebi,SRR6009521
ebi,SRR6009522
ebi,SRR6009523
ebi,SRR6009524
ebi,SRR6009525
ebi,SRR6009526
ebi,SRR6009527
ebi,SRR6009528
ebi,SRR6009529
ebi,SRR6009530
ebi,SRR6009531
ebi,SRR6009532
ebi,SRR6009533
ebi,SRR6009534
ebi,SRR6009535
ebi,SRR6009536
ebi,SRR6009537
ebi,SRR6009538
ebi,SRR6009539
ebi,SRR6009540
ebi,SRR6009541
ebi,SRR6009542
ebi,SRR6009543
ebi,SRR6009544
ebi,SRR6009545
ebi,SRR6009546
ebi,SRR6009547
ebi,SRR6009548
ebi,SRR6009549
ebi,SRR6009550
ebi,SRR6009551
ebi,SRR6009552
ebi,SRR6009553
ebi,SRR6009554
ebi,SRR6009555
ebi,SRR6009556
ebi,SRR6009557
ebi,SRR6009558
ebi,SRR6009559
ebi,SRR6009560
ebi,SRR6009561
ebi,SRR6009562
ebi,SRR6009563
ebi,SRR6009564
ebi,SRR6009565
ebi,SRR6009566
ebi,SRR6009567
ebi,SRR6009568
ebi,SRR6009569
ebi,SRR6009570
ebi,SRR6009571
ebi,SRR6009572
ebi,SRR6009573
ebi,SRR6009574
ebi,SRR6009575
ebi,SRR6009576
ebi,SRR6009577
ebi,SRR6009578
ebi,SRR6009579
ebi,SRR6009580
ebi,SRR6009581
ebi,SRR6009582
ebi,SRR6009583
ebi,SRR6009584
ebi,SRR6009585
ebi,SRR6009586
ebi,SRR6009587
ebi,SRR6009588
ebi,SRR6009589
ebi,SRR6009590
ebi,SRR6009591
ebi,SRR6009592
ebi,SRR6009593
ebi,SRR6009594
ebi,SRR6009595
ebi,SRR6009596
ebi,SRR6009597
ebi,SRR6009598
ebi,SRR6009599
ebi,SRR6009600
ebi,SRR6009601
ebi,SRR6009602
ebi,SRR6009603
ebi,SRR6009604
ebi,SRR6009605
ebi,SRR6009606
ebi,SRR6009607
ebi,SRR6009608
ebi,SRR6009609
ebi,SRR6009610
ebi,SRR6009611
ebi,SRR6009612
ebi,SRR6009613
ebi,SRR6009614
ebi,SRR6009615
ebi,SRR6009616
ebi,SRR6009617
ebi,SRR6009618
ebi,SRR6009619
ebi,SRR6009620
ebi,SRR6009621
ebi,SRR6009622
ebi,SRR6009623
ebi,SRR6009624
ebi,SRR6009625
ebi,SRR6009626
ebi,SRR6009627
ebi,SRR6009628
ebi,SRR6009629
ebi,SRR6009630
ebi,SRR6009631
ebi,SRR6009632
ebi,SRR6009633
ebi,SRR6009634
ebi,SRR6009635
ebi,SRR6009636
ebi,SRR6009637
ebi,SRR6009638
ebi,SRR6009639
ebi,SRR6009640
ebi,SRR6009641
ebi,SRR6009642
ebi,SRR6009643
ebi,SRR6009644
ebi,SRR6009645
ebi,SRR6009646
ebi,SRR6009647
ebi,SRR6009648
ebi,SRR6009649
ebi,SRR6009650
ebi,SRR6009651
ebi,SRR6009652
ebi,SRR6009653
ebi,SRR6009654
ebi,SRR6009655
ebi,SRR6009656
ebi,SRR6009657
ebi,SRR6009658
ebi,SRR6009659
ebi,SRR6009660
ebi,SRR6009661
ebi,SRR6009662
ebi,SRR6009663
ebi,SRR6009664
ebi,SRR6009665
ebi,SRR6009666
ebi,SRR6009667
ebi,SRR6009668
ebi,SRR6009669
ebi,SRR6009670
ebi,SRR6009671
ebi,SRR6009672
ebi,SRR6009673
ebi,SRR6009674
ebi,SRR6009675
ebi,SRR6009676
ebi,SRR6009677
ebi,SRR6009678
ebi,SRR6009679
ebi,SRR6009680
ebi,SRR6009681
ebi,SRR6009682
ebi,SRR6009683
ebi,SRR6009684
ebi,SRR6009685
ebi,SRR6009686
ebi,SRR6009687
ebi,SRR6009688
ebi,SRR6009689
ebi,SRR6009690
ebi,SRR6009691
ebi,SRR6009692
ebi,SRR6009693
ebi,SRR6009694
ebi,SRR6009695
ebi,SRR6009696
ebi,SRR6009697
ebi,SRR6009698
ebi,SRR6009699
ebi,SRR6009700
ebi,SRR6009701
ebi,SRR6009702
ebi,SRR6009703
ebi,SRR6009704
ebi,SRR6009705
ebi,SRR6009706
ebi,SRR6009707
ebi,SRR6009708
ebi,SRR6009709
ebi,SRR6009710
ebi,SRR6009711
ebi,SRR6009712
ebi,SRR6009713
ebi,SRR6009714
ebi,SRR6009715
ebi,SRR6009716
ebi,SRR6009717
ebi,SRR6009718
ebi,SRR6009719
ebi,SRR6009720
ebi,SRR6009721
ebi,SRR6009722
ebi,SRR6009723
ebi,SRR6009724
ebi,SRR6009725
ebi,SRR6009726
ebi,SRR6009727
ebi,SRR6009728
ebi,SRR6009729
ebi,SRR6009730
ebi,SRR6009731
ebi,SRR6009732
ebi,SRR6009733
ebi,SRR6009734
ebi,SRR6009735
ebi,SRR6009736
ebi,SRR6009737
ebi,SRR6009738
ebi,SRR6009739
ebi,SRR6009740
ebi,SRR6009741
ebi,SRR6009742
ebi,SRR6009743
ebi,SRR6009744
ebi,SRR6009745
ebi,SRR6009746
ebi,SRR6009747
ebi,SRR6009748
ebi,SRR6009749
ebi,SRR6009750
ebi,SRR6009751
ebi,SRR6009752
ebi,SRR6009753
ebi,SRR6009754
ebi,SRR6009755
ebi,SRR6009756
ebi,SRR6009757
ebi,SRR6009758
ebi,SRR6009759
ebi,SRR6009760
ebi,SRR6009761
ebi,SRR6009762
ebi,SRR6009763
ebi,SRR6009764
ebi,SRR6009765
ebi,SRR6009766
ebi,SRR6009767
ebi,SRR6009768
ebi,SRR6009769
ebi,SRR6009770
ebi,SRR6009771
ebi,SRR6009772
ebi,SRR6009773
ebi,SRR6009774
ebi,SRR6009775
ebi,SRR6009776
ebi,SRR6009777
ebi,SRR6009778
ebi,SRR6009779
ebi,SRR6009780
ebi,SRR6009781
ebi,SRR6009782
ebi,SRR6009783
ebi,SRR6009784
ebi,SRR6009785
ebi,SRR6009786
ebi,SRR6009787
ebi,SRR6009788
ebi,SRR6009789
ebi,SRR6009790
ebi,SRR6009791
ebi,SRR6009792
ebi,SRR6009793
ebi,SRR6009794
ebi,SRR6009795
ebi,SRR6009796
ebi,SRR6009797
ebi,SRR6009798
ebi,SRR6009799
ebi,SRR6009800
ebi,SRR6009801
ebi,SRR6009802
ebi,SRR6009803
ebi,SRR6009804
ebi,SRR6009805
ebi,SRR6009806
ebi,SRR6009807
ebi,SRR6009808
ebi,SRR6009809
ebi,SRR6009810
ebi,SRR6009811
ebi,SRR6009812
ebi,SRR6009813
ebi,SRR6009814
ebi,SRR6009815
ebi,SRR6009816
ebi,SRR6009817
ebi,SRR6009818
ebi,SRR6009819
ebi,SRR6009820
ebi,SRR6009821
ebi,SRR6009822
ebi,SRR6009823
ebi,SRR6009824
ebi,SRR6009825
ebi,SRR6009826
ebi,SRR6009827
ebi,SRR6009828
ebi,SRR6009829
ebi,SRR6009830
ebi,SRR6009831
ebi,SRR6009832
ebi,SRR6009833
ebi,SRR6009834
ebi,SRR6009835
ebi,SRR6009836
ebi,SRR6009837
ebi,SRR6009838
ebi,SRR6009839
ebi,SRR6009840
ebi,SRR6009841
ebi,SRR6009842
ebi,SRR6009843
ebi,SRR6009844
ebi,SRR6009845
ebi,SRR6009846
ebi,SRR6009847
ebi,SRR6009848
ebi,SRR6009849
ebi,SRR6009850
ebi,SRR6009851
ebi,SRR6009852
